"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
27,"tarsal bone",240,77,115,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001447","tarsal bone","","","","","","","","",""
28,"astragalus head",250,170,50,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_4200181","astragalus head","","","","","","","","",""
29,"tarsometatarsus",120,82,204,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0008195","tarsometatarsus","","","","","","","","",""
30,"tibia",167,171,121,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0000979","tibia","","","","","","","","",""
31,"tibiofibula",87,197,211,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006714","tibiofibula","","","","","","","","",""
32,"tibiotarsus",240,77,115,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0008194","tibiotarsus","","","","","","","","",""
33,"ulna",237,217,114,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0002091","appendicular skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0001424","ulna","","","","","","","","",""
34,"body of sternum",101,56,199,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0005944","axial skeleton plus cranial skeleton","Uberon","http://purl.obolibrary.org/obo/UBERON_0006820","body of sternum","","","","","","","","",""
35,"angular bone",236,148,208,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0003278","skeleton of lower jaw","Uberon","http://purl.obolibrary.org/obo/UBERON_0011079","angular bone","","","","","","","","",""
36,"articular bone",65,36,128,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0003278","skeleton of lower jaw","Uberon","http://purl.obolibrary.org/obo/UBERON_2001805","articular bone","","","","","","","","",""
37,"coronoid bone",213,155,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0003278","skeleton of lower jaw","Uberon","http://purl.obolibrary.org/obo/UBERON_0011598","coronoid bone","","","","","","","","",""
38,"dentary",116,217,69,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0003278","skeleton of lower jaw","Uberon","http://purl.obolibrary.org/obo/UBERON_0004742","dentary","","","","","","","","",""
39,"mandible",213,155,255,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0003278","skeleton of lower jaw","Uberon","http://purl.obolibrary.org/obo/UBERON_0001684","mandible","","","","","","","","",""
40,"Meckel's cartilage",236,148,208,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0003278","skeleton of lower jaw","Uberon","http://purl.obolibrary.org/obo/UBERON_0003107","Meckel's cartilage","","","","","","","","",""
41,"splenial bone",145,235,120,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0003278","skeleton of lower jaw","Uberon","http://purl.obolibrary.org/obo/UBERON_0011635","splenial bone","","","","","","","","",""
42,"surangular bone",236,148,208,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0003278","skeleton of lower jaw","Uberon","http://purl.obolibrary.org/obo/UBERON_0011636","surangular bone","","","","","","","","",""
43,"ectopterygoid bone",236,148,208,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0003277","skeleton of upper jaw","Uberon","http://purl.obolibrary.org/obo/UBERON_0011634","ectopterygoid bone","","","","","","","","",""
44,"maxilla",116,217,69,255,"Uberon","http://purl.obolibrary.org/obo/UBERON_0003277","skeleton of upper jaw","Uberon","http://purl.obolibrary.org/obo/UBERON_0002397","maxilla","","","","","","","","",""
